syndrome_name,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,healthy_mean_group_1,healthy_mean_group_2,disease_mean_group_1,disease_mean_group_2,raw_disease_effect_group_1,raw_disease_effect_group_2,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,abs_delta_hedges_g,interaction_beta_group2_minus_group1,interaction_standard_error,interaction_ci_lower,interaction_ci_upper,interaction_ci_excludes_zero,interaction_p_value,same_effect_direction,direction_reversal,within_syndrome_fdr_q_value,within_syndrome_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority_interaction,high_confidence_interaction
Rubinstein-Taybi syndrome,mouth_width,African,European,143,143,13,55,moderate,0.3951857855336863,0.368555993262978,0.36052040469509566,0.39204418444888023,-0.03466538083859061,0.02348819118590223,-0.6178784153726012,0.4100818670099201,1.0279602823825214,1.0279602823825214,0.058153572024491826,0.015015370537612394,0.028723986556247704,0.08758315749273594,True,0.00010753198669019556,False,True,0.01464219783916859,True,0.004500463478599845,True,True,True
Rubinstein-Taybi syndrome,jaw_to_forehead_ratio,African,East Asian,143,143,13,15,moderate,1.0448191369834081,1.0872704554673154,0.9795141573174787,1.110412467028907,-0.06530497966592941,0.02314201156159168,-1.220658844749413,0.3509515517463105,1.5716103964957235,1.5716103964957235,0.08844699122752214,0.02288578132421746,0.04359168407399654,0.13330229838104773,True,0.00011121960625167575,False,True,0.01464219783916859,True,0.004631215396483648,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,cupid_bow_drop,South Asian,Latino/Hispanic,143,143,49,40,primary,0.02337750592071882,0.022538473210158675,0.03156933970913283,0.02549101146904418,0.00819183378841401,0.0029525382588855044,1.4718862308396097,0.5671112132036884,-0.9047750176359213,0.9047750176359213,-0.005239295529528466,0.001357125250238446,-0.007899212142505729,-0.002579378916551203,True,0.00011311651462804407,True,False,0.0047831723083224965,True,0.004695335124238572,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,malar_bulge_mean,South Asian,European,143,143,49,77,primary,0.03978861652397712,0.0431630478595418,0.03076339233172156,0.04071133272631008,-0.009025224192255557,-0.0024517151332317244,-1.2374221742686204,-0.3484408227623808,0.8889813515062397,0.8889813515062397,0.006573509059023743,0.0017032697297781306,0.0032351617327013374,0.00991185638534615,True,0.00011369037226380186,True,False,0.0047831723083224965,True,0.004715705809865766,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,nose_ala_height_r,South Asian,European,143,143,49,77,primary,0.06373803656294405,0.06472051316211079,0.07254472784526694,0.06767334010702636,0.008806691282322893,0.002952826944915568,1.45941791932436,0.509051225850913,-0.9503666934734469,0.9503666934734469,-0.005853864337407488,0.0015177322655239905,-0.00882856491600889,-0.002879163758806084,True,0.00011479613539973991,True,False,0.0047831723083224965,True,0.004744089190781207,True,True,True
SAETHRE-CHOTZEN SYNDROME; SCS,nose_ala_height_mean,South Asian,European,143,143,15,15,moderate,0.06376001675690902,0.06473390540854329,0.07135356929331656,0.06407969906949283,0.007593552536407533,-0.0006542063390504588,1.4918613563550336,-0.11207494411211001,-1.6039363004671436,1.6039363004671436,-0.008247758875457874,0.0021396210000905573,-0.012441338976200937,-0.00405417877471481,True,0.00011583581680884359,False,True,0.00482649236703515,True,0.004775050128640418,True,True,True
ANGELMAN SYNDROME; AS,eb_inter_distance,East Asian,European,143,143,10,98,moderate,0.19214803528256313,0.19511334066126107,0.20467237759774254,0.18817028848312042,0.012524342315179404,-0.006943052178140646,1.0908898627139134,-0.5416033112064097,-1.6324931739203232,1.6324931739203232,-0.019467394493319676,0.00505158566206411,-0.029368320455784254,-0.009566468530855096,True,0.00011633684020703945,False,True,0.016451207576351733,True,0.004789697710465149,True,True,True
FLOATING-HARBOR SYNDROME; FLHS,face_aspect_ratio,East Asian,European,143,143,14,62,moderate,0.9197667518592662,0.9113445079503402,0.8700438055764353,0.9206999088607198,-0.049722946282830804,0.009355400910379674,-0.9972547191917506,0.17316171270332556,1.170416431895076,1.170416431895076,0.059078347193209646,0.015344152237510905,0.029004361434388587,0.0891523329520307,True,0.00011801223362935017,False,True,0.022127293805503156,True,0.004843510837159659,True,True,True
SOTOS SYNDROME; SOTOS,eye_fissure_fill_l,African,South Asian,143,143,11,10,moderate,0.22584294690818696,0.23970286423952503,0.26384204046385995,0.336475569927791,0.03799909355567299,0.09677270568826596,0.6105594468557208,1.6861796673232892,1.0756202204675684,1.0756202204675684,0.05877361213259257,0.015267277778597271,0.02885029754457324,0.0886969267206119,True,0.00011828874420174175,True,False,0.003786682360116733,True,0.004848806066873142,True,True,True
ANGELMAN SYNDROME; AS,eb_thickness_l,East Asian,European,143,143,10,98,moderate,0.015377409516974555,0.015115779087123409,0.016755955906464778,0.014226524128913991,0.0013785463894902227,-0.0008892549582094171,0.5443243893798899,-0.3506179326462563,-0.8949423220261462,0.8949423220261462,-0.002267801347699599,0.0005891441614348068,-0.003422502685813872,-0.0011131000095853261,True,0.00011844869454973247,False,True,0.016451207576351733,True,0.004850246704829808,True,True,True
