feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
forehead_height,7.914708442676928,0.047807708695314165,4,Asian:571|African:143|Others:143|European:143,Asian:0.184922|African:0.182622|Others:0.186049|European:0.18136,Asian:0.186499|African:0.183445|Others:0.188627|European:0.181241,0.06868923663119851,False
forehead_width_upper,86.92076494683891,1.004177496008566e-18,4,Asian:571|African:143|Others:143|European:143,Asian:0.731028|African:0.754051|Others:0.728951|European:0.7292,Asian:0.73237|African:0.75622|Others:0.729584|European:0.727893,1.7931741000152967e-17,True
forehead_width_mid,84.66239952022705,3.0663424919730326e-18,4,Asian:571|African:143|Others:143|European:143,Asian:0.86919|African:0.89154|Others:0.867434|European:0.868142,Asian:0.869976|African:0.892105|Others:0.868339|European:0.864976,4.7911601437078635e-17,True
hairline_height,7.914708442676928,0.047807708695314165,4,Asian:571|African:143|Others:143|European:143,Asian:0.184922|African:0.182622|Others:0.186049|European:0.18136,Asian:0.186499|African:0.183445|Others:0.188627|European:0.181241,0.06868923663119851,False
forehead_taper_ratio,66.05888023193542,2.9773731685628364e-14,4,Asian:571|African:143|Others:143|European:143,Asian:0.840928|African:0.845649|Others:0.840233|European:0.839825,Asian:0.841162|African:0.845918|Others:0.840601|European:0.840141,2.8628588159258044e-13,True
face_aspect_ratio,25.909657324645444,9.961954831410844e-06,4,Asian:571|African:143|Others:143|European:143,Asian:0.917029|African:0.89164|Others:0.909834|European:0.911345,Asian:0.916078|African:0.89373|Others:0.907044|European:0.908194,3.773467739170774e-05,True
face_roundness,50.3358858987326,6.775862164831862e-11,4,Asian:571|African:143|Others:143|European:143,Asian:0.962846|African:0.953547|Others:0.962575|European:0.962014,Asian:0.964416|African:0.955085|Others:0.966477|European:0.96506,4.705459836688793e-10,True
face_width_uniformity,37.7709733935269,3.160306992199304e-08,4,Asian:571|African:143|Others:143|European:143,Asian:0.762313|African:0.770367|Others:0.762507|European:0.765009,Asian:0.761052|African:0.770479|Others:0.761859|European:0.765895,1.580153496099652e-07,True
jaw_to_forehead_ratio,73.30938272896607,8.344437535769291e-16,4,Asian:571|African:143|Others:143|European:143,Asian:1.0873|African:1.04482|Others:1.09391|European:1.10001,Asian:1.08542|African:1.0402|Others:1.08868|European:1.10043,9.482315381556013e-15,True
face_triangularity,17.511982846656597,0.000554481494131015,4,Asian:571|African:143|Others:143|European:143,Asian:0.554615|African:0.560901|Others:0.555742|European:0.546396,Asian:0.55784|African:0.564641|Others:0.560698|European:0.547577,0.0016475915197477192,True
face_asymmetry,8.68372540271637,0.03380533265140742,4,Asian:571|African:143|Others:143|European:143,Asian:0.0356013|African:0.0417598|Others:0.0365627|European:0.0377659,Asian:0.0311346|African:0.0367323|Others:0.0298369|European:0.0325201,0.05216872322748059,False
midface_width,31.723993549599964,5.983436133992348e-07,4,Asian:571|African:143|Others:143|European:143,Asian:0.581304|African:0.594509|Others:0.588311|European:0.583728,Asian:0.57847|African:0.591509|Others:0.58585|European:0.581021,2.671176845532298e-06,True
malar_bulge_r,1.5803017243568038,0.6638644733227612,4,Asian:571|African:143|Others:143|European:143,Asian:0.0390855|African:0.0331082|Others:0.0363895|European:0.0400007,Asian:0.0406028|African:0.0391023|Others:0.0409932|European:0.0427678,0.7032462641130945,False
malar_bulge_l,3.294251881581998,0.34844347740695,4,Asian:571|African:143|Others:143|European:143,Asian:0.044372|African:0.0396412|Others:0.0465775|European:0.0463254,Asian:0.0436775|African:0.0328294|Others:0.0449185|European:0.0458796,0.38888780960597097,False
malar_bulge_mean,78.42934778071029,6.66650280730315e-17,4,Asian:571|African:143|Others:143|European:143,Asian:0.0417288|African:0.0363747|Others:0.0414835|European:0.043163,Asian:0.0420531|African:0.0364512|Others:0.0417699|European:0.0433591,8.333128509128937e-16,True
malar_bulge_asym,13.021846592403547,0.004589598328360018,4,Asian:571|African:143|Others:143|European:143,Asian:1.56415|African:2.12287|Others:1.7157|European:1.57755,Asian:1.18028|African:1.70855|Others:1.06225|European:1.30704,0.00910634588960321,True
cheek_area_r,0.04422834448693353,0.997558736370807,4,Asian:571|African:143|Others:143|European:143,Asian:0.00727756|African:0.007225|Others:0.00728672|European:0.00733579,Asian:0.00639434|African:0.00672187|Others:0.00650773|European:0.00674165,0.997558736370807,False
cheek_area_l,3.4089950478651545,0.3327583723116717,4,Asian:571|African:143|Others:143|European:143,Asian:0.00783087|African:0.00751102|Others:0.00844189|European:0.00819102,Asian:0.0069225|African:0.00615518|Others:0.00705702|European:0.00707982,0.37813451399053605,False
cheek_area_mean,12.8930609880226,0.004873668008483427,4,Asian:571|African:143|Others:143|European:143,Asian:0.00755421|African:0.00736801|Others:0.00786431|European:0.00776341,Asian:0.00707139|African:0.00659724|Others:0.00719736|European:0.00736797,0.00943884637671584,True
cheek_area_asym,7.0228643896769976,0.0711725662531511,4,Asian:571|African:143|Others:143|European:143,Asian:0.986111|African:1.08667|Others:0.924793|European:1.02039,Asian:1.0106|African:1.1508|Others:0.948778|European:1.07935,0.0926726123087905,False
