review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
43,Holoprosencephaly,mouth_opening,philtrum / mouth / lips,mouth_opening,moderate_candidate,11,942,0.3893433261887164,0.3329698961493926,0.135578937908555,0.1242532269279927,1.95806935910626,0.9711027120448106,2.9423420101750044,0.0033248508852315,0.6703339123721289,0.670333912372129,1.0,1.95806935910626,0.9711027120448106,2.9423420101750044,0.0033812042900659,True,True,0.0,True,True,13.398069359106259,unreviewed,TBD,TBD
44,Coffin-Siris syndrome,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,43,942,0.3303851430437748,0.3166319538613885,0.2848302841731749,0.2838415889614529,0.9050027577477248,0.5116863841486314,1.3666411906240543,0.003155163352184,0.3465659408482694,0.3465659408482693,1.0,0.7835094953889784,0.3943833165452884,1.2067310017642074,0.0132613238066733,True,True,0.12149326235874636,True,True,13.382016233030233,unreviewed,TBD,TBD
45,KBG SYNDROME; KBGS,jaw_to_forehead_ratio,chin / jaw,jaw_to_forehead_ratio,primary_candidate,32,942,1.008737658392956,1.0023208175006653,1.084235035651304,1.0820499752326038,-1.2233240597451245,-1.5739741072421938,-0.8784887742216063,4.24270184363193e-07,-0.6205546709129511,-0.6205546709129512,1.0,-1.2935307363825184,-1.6716973500659729,-0.9091487464426542,8.14891956644738e-08,True,True,0.07020667663739388,True,True,13.362910706470336,unreviewed,TBD,TBD
46,SOTOS SYNDROME; SOTOS,jaw_to_forehead_ratio,chin / jaw,jaw_to_forehead_ratio,primary_candidate,25,942,1.000932751395768,1.008361391751183,1.084235035651304,1.0820499752326038,-1.347914620545588,-1.7604987200447988,-0.9040081357865472,2.9139655290937528e-06,-0.6551167728237792,-0.6551167728237792,1.0,-1.347914620545588,-1.7604987200447988,-0.9040081357865472,2.9139655290937528e-06,True,True,0.0,True,True,13.347914620545588,unreviewed,TBD,TBD
47,SOTOS SYNDROME; SOTOS,forehead_width_mid,forehead,forehead_width_mid,primary_candidate,25,942,0.907160139161569,0.9056732757038304,0.8717933457632211,0.8709651266071212,1.3279207261233474,0.9034605417765698,1.7545052367988938,1.0971751874372274e-05,0.6206369426751592,0.6206369426751592,1.0,1.3279207261233474,0.9034605417765698,1.7545052367988938,1.0480479402385456e-05,True,True,0.0,True,True,13.327920726123347,unreviewed,TBD,TBD
48,Kabuki syndrome,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,primary_candidate,35,942,0.2675067163495924,0.2671280957412867,0.2519552872906554,0.2512061827354069,0.9804057520934378,0.650843323350154,1.3509630506498254,7.797215217525661e-05,0.483773127085229,0.483773127085229,1.0,1.0148227841444653,0.6818910536594831,1.3836837742599035,3.300439005988748e-05,True,True,0.03441703205102742,True,True,13.311571687991384,unreviewed,TBD,TBD
49,Mucopolysaccharidoses,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,37,942,0.3257519254140801,0.3211958405187076,0.2848302841731749,0.2838415889614529,0.835842313214958,0.494621131786145,1.2244884348537464,0.0004555494542819,0.4284730590463074,0.4284730590463075,1.0,0.8336731031479686,0.4865031286291618,1.225488267035376,0.0005732317212724,True,True,0.0021692100669894465,True,True,13.311503893080978,unreviewed,TBD,TBD
50,AU-KLINE SYNDROME; AUKS,nose_ala_height_l,nose,nose_ala_height,moderate_candidate,11,942,0.0749459199002746,0.0758184768656099,0.0647331365055625,0.0645101186649806,1.8686864210928895,1.5203237600647148,2.195955941396873,3.11487258473413e-05,0.8867014089944026,0.8867014089944025,1.0,1.8686864210928895,1.5203237600647148,2.195955941396873,3.0773439993758873e-05,True,True,0.0,True,True,13.308686421092888,unreviewed,TBD,TBD
51,NICOLAIDES-BARAITSER SYNDROME; NCBRS,forehead_width_mid,forehead,forehead_width_mid,primary_candidate,24,942,0.9097083341544084,0.9127180378881496,0.8717933457632211,0.8709651266071212,1.4248374234264716,1.0170882800948935,1.885501225801804,4.827044077270809e-06,0.6543701344656758,0.6543701344656758,1.0,1.3841165769072468,0.9555611591166492,1.8544172510504917,8.388214767930402e-06,True,True,0.04072084651922481,True,True,13.303395730388022,unreviewed,TBD,TBD
52,Mucopolysaccharidoses,nose_bridge_length,nose,nose_bridge_length,primary_candidate,37,942,0.8385991058399923,0.8382182352982611,0.8707440926291355,0.8761468572316142,-0.8524499178244327,-1.248327255243297,-0.5055463286758775,0.0003768174647384,-0.4332931657772422,-0.4332931657772422,1.0,-0.8679147799902945,-1.2762862202301468,-0.4852469159969964,0.0004345477440393,True,True,0.015464862165861848,True,True,13.30152019349271,unreviewed,TBD,TBD
